国,クリック数,表示回数,CTR,掲載順位
日本,24371,2103548,1.16%,5.69
米国,318,48181,0.66%,9.76
台湾,94,5879,1.6%,6.67
シンガポール,87,4002,2.17%,9.48
韓国,86,10446,0.82%,5.46
タイ,85,4128,2.06%,6.83
香港,66,4014,1.64%,8.17
カナダ,45,3454,1.3%,7.19
オーストラリア,44,3937,1.12%,6.83
イギリス,41,4533,0.9%,6.05
フランス,38,1724,2.2%,7.52
ドイツ,36,2161,1.67%,7.27
フィリピン,32,1614,1.98%,7.11
中国,31,1915,1.62%,5.95
ベトナム,26,2685,0.97%,7.07
インドネシア,26,1936,1.34%,6.32
マレーシア,23,2629,0.87%,9.77
イタリア,20,1305,1.53%,8.11
オランダ,16,733,2.18%,6.34
ニュージーランド,15,850,1.76%,6.26
インド,14,1976,0.71%,7.46
ブラジル,14,1515,0.92%,9.51
スペイン,14,1083,1.29%,7.41
メキシコ,11,735,1.5%,7.66
スイス連邦,11,534,2.06%,5.78
アラブ首長国連邦,9,636,1.42%,5.98
スウェーデン,8,283,2.83%,6.11
フィンランド,7,321,2.18%,5.81
カタール,5,374,1.34%,5.6
カンボジア,5,246,2.03%,5.93
グアム,4,666,0.6%,5.67
オーストリア,4,469,0.85%,17.55
ポーランド,4,207,1.93%,6.14
マカオ,4,158,2.53%,5.43
ロシア,4,151,2.65%,15.58
トルコ,3,553,0.54%,9.07
エジプト,3,263,1.14%,8.78
デンマーク,3,139,2.16%,7.87
ラオス,3,58,5.17%,5.17
ベルギー,2,344,0.58%,6
サウジアラビア,2,210,0.95%,13.34
南アフリカ,2,173,1.16%,8.66
チリ,2,141,1.42%,7.36
ノルウェー,2,129,1.55%,6.05
ギリシャ,2,74,2.7%,6.42
ナイジェリア,2,59,3.39%,9.86
グルジア,2,37,5.41%,5.68
ボリビア,2,34,5.88%,12.09
タンザニア,2,27,7.41%,6.07
ジンバブエ,2,8,25%,6.5
アルゼンチン,1,281,0.36%,12.68
コロンビア,1,168,0.6%,12.72
ルーマニア,1,154,0.65%,6.81
ポルトガル,1,150,0.67%,5.86
チェキア,1,136,0.74%,6.26
