国,クリック数,表示回数,CTR,掲載順位
日本,142477,6403229,2.23%,8.54
米国,142,131839,0.11%,11.06
カナダ,115,6372,1.8%,6.97
韓国,90,5603,1.61%,7.28
シンガポール,61,2609,2.34%,7.01
タイ,54,2349,2.3%,8.02
マレーシア,48,1579,3.04%,7.67
インドネシア,42,2336,1.8%,7.82
フィリピン,42,1710,2.46%,9.2
オーストラリア,40,1877,2.13%,7.42
ベトナム,37,2699,1.37%,11.6
台湾,33,2046,1.61%,7.32
イギリス,32,17422,0.18%,6.26
フランス,29,2168,1.34%,7.77
スウェーデン,26,627,4.15%,5.03
ドイツ,22,1979,1.11%,8.21
中国,22,1164,1.89%,10.14
香港,20,1112,1.8%,9.77
ニュージーランド,16,374,4.28%,7.34
イタリア,12,2050,0.59%,11.04
インド,11,3254,0.34%,9.84
オランダ,11,896,1.23%,7.69
スペイン,6,1415,0.42%,7.6
アラブ首長国連邦,6,418,1.44%,7.93
ネパール,5,215,2.33%,10.05
ポーランド,4,428,0.93%,7.26
ポルトガル,4,399,1%,8.03
ベルギー,4,380,1.05%,7.51
カンボジア,4,275,1.45%,8.51
オーストリア,4,192,2.08%,8.76
メキシコ,3,1266,0.24%,8.99
フィンランド,3,186,1.61%,7.82
ケニア,3,163,1.84%,10.52
ボリビア,3,90,3.33%,10.17
ミャンマー（ビルマ）,3,85,3.53%,6.82
マカオ,3,68,4.41%,10.47
ブラジル,2,4687,0.04%,11.04
スイス連邦,2,332,0.6%,8.12
デンマーク,2,308,0.65%,11.2
ハンガリー,2,188,1.06%,7.46
ノルウェー,2,158,1.27%,7.06
モルディブ,2,29,6.9%,8.83
トルコ,1,1095,0.09%,9.92
アルゼンチン,1,881,0.11%,12.48
バングラディッシュ,1,638,0.16%,8.91
パキスタン,1,480,0.21%,9.76
モロッコ,1,455,0.22%,10.64
南アフリカ,1,383,0.26%,9.83
エジプト,1,322,0.31%,10.37
ペルー,1,313,0.32%,11.07
アイルランド,1,280,0.36%,7.04
チェキア,1,226,0.44%,8.31
ヨルダン,1,155,0.65%,11.46
バルバドス,1,110,0.91%,5.53
クロアチア,1,95,1.05%,8.46
エストニア,1,65,1.54%,8.98
ラオス,1,64,1.56%,10.69
マルタ,1,54,1.85%,5.65
キプロス,1,48,2.08%,8.6
不明な地域,1,33,3.03%,8.67
イエメン,1,7,14.29%,7.71
米領バージン諸島,0,1730,0%,44
コロンビア,0,627,0%,9.39
サウジアラビア,0,466,0%,11.55
アルジェリア,0,462,0%,8.66
エクアドル,0,444,0%,9.77
チリ,0,409,0%,11.64
ウクライナ,0,365,0%,8.98
リトアニア,0,343,0%,12.11
ルーマニア,0,331,0%,7.28
ロシア,0,320,0%,15.11
ジャマイカ,0,306,0%,6.13
イラク,0,290,0%,10.11
トリニダード・トバゴ,0,289,0%,6.32
ベネズエラ,0,269,0%,11.02
イスラエル,0,226,0%,9.09
ドミニカ,0,188,0%,8.81
チュニジア,0,186,0%,10.17
ギリシャ,0,180,0%,8.48
ナイジェリア,0,171,0%,12.34
プエルトリコ,0,166,0%,8.54
ブルガリア,0,146,0%,7.9
カザフスタン,0,143,0%,10.24
ウズベキスタン,0,138,0%,8.05
セルビア,0,136,0%,7.31
グルジア,0,129,0%,8.56
パラグアイ,0,127,0%,7.94
バハマ,0,126,0%,5.92
パナマ,0,121,0%,9.41
ベラルーシ,0,115,0%,8.17
モンゴル,0,111,0%,10.05
アルバニア,0,107,0%,7.76
スリランカ,0,104,0%,8.4
アゼルバイジャン,0,104,0%,9.58
エチオピア,0,103,0%,12.16
オマーン,0,93,0%,11.68
カタール,0,90,0%,9.28
コスタリカ,0,89,0%,8.06
ウルグアイ,0,89,0%,12.01
スロバキア,0,85,0%,8.26
ボスニア・ヘルツェゴビナ,0,79,0%,8.76
レバノン,0,76,0%,10.64
ガーナ,0,72,0%,7.61
グァテマラ,0,68,0%,9.87
パレスチナ,0,67,0%,7.96
ホンジュラス,0,67,0%,10.55
クウェート,0,60,0%,13.42
モルドバ,0,59,0%,15.32
シリア,0,53,0%,13.26
バーレーン,0,49,0%,7.24
セネガル,0,49,0%,8.33
スロベニア,0,49,0%,11
タンザニア,0,48,0%,10.92
イラン,0,47,0%,10.06
グアム,0,45,0%,5.47
マケドニア,0,44,0%,8.3
ベリーズ,0,43,0%,6.07
エルサルバドル,0,39,0%,8.95
ラトビア,0,38,0%,9.61
アルメニア,0,36,0%,8.72
リビア,0,33,0%,5.55
コートジボワール,0,33,0%,12.06
アイスランド,0,32,0%,6.69
モーリシャス,0,32,0%,11.56
ウガンダ,0,31,0%,12.97
ガイアナ,0,29,0%,4.69
セイシェル,0,27,0%,3.74
キュラソー,0,27,0%,11.3
ケイマン諸島,0,24,0%,6.38
ルクセンブルグ,0,23,0%,6.43
キルギス,0,23,0%,7.43
モンテネグロ,0,23,0%,8.22
アンゴラ,0,23,0%,11.09
コソボ,0,20,0%,8.85
ルワンダ,0,19,0%,8.74
タジキスタン,0,18,0%,12.89
ジンバブエ,0,18,0%,18.39
ジャージー,0,17,0%,5.18
セントルシア,0,17,0%,6.24
ブルネイ,0,17,0%,10.82
シント・マールテン,0,16,0%,4.69
ニカラグア,0,16,0%,8.56
ベニン,0,16,0%,10.81
グレナダ,0,15,0%,7.6
ボツワナ,0,15,0%,10.13
モザンビーク,0,15,0%,11.67
英領バージン諸島,0,14,0%,4.93
アルバ,0,13,0%,5.54
バミューダ,0,13,0%,6.62
カメルーン,0,13,0%,11.31
マン島,0,12,0%,5.17
フィジー,0,12,0%,6.33
アンティグア・バーブーダ,0,12,0%,7.67
ハイチ,0,11,0%,6.27
タークス・カイコス諸島,0,11,0%,6.55
マダガスカル,0,11,0%,6.64
セントクリストファー・ネイビス,0,11,0%,10
モーリタニア,0,11,0%,16.64
ナミビア,0,11,0%,18.36
セントビンセント・グレナディーン,0,10,0%,4.7
トーゴ,0,10,0%,7.5
スリナム,0,10,0%,8.8
ブルキナファソ,0,10,0%,9.7
ザンビア,0,10,0%,13.3
ガボン,0,10,0%,21.1
シェラレオネ,0,9,0%,7
ソマリア,0,9,0%,10.67
フランス領ポリネシア,0,8,0%,5.25
キューバ,0,8,0%,7.5
マリ,0,8,0%,18.5
アフガニスタン,0,7,0%,4.86
アンドラ,0,7,0%,7.57
ジブラルタル,0,7,0%,9.29
スーダン,0,7,0%,10.57
コンゴ民主共和国 - キンシャサ,0,7,0%,13.29
コンゴ共和国 - ブラザビル,0,5,0%,4.8
パラオ,0,5,0%,7.6
マラウイ,0,5,0%,7.8
ジブチ,0,5,0%,8
ニューカレドニア,0,5,0%,10
南スーダン,0,5,0%,12
北マリアナ諸島,0,4,0%,6.25
ガーンジー,0,4,0%,8
パプアニューギニア,0,4,0%,13
ギニア,0,4,0%,16.25
ガンビア,0,3,0%,2.33
スワジランド,0,3,0%,5.33
カボベルデ,0,3,0%,7.33
マルチニーク,0,3,0%,7.67
キリバス,0,3,0%,8
サモア,0,3,0%,8.33
レユニオン,0,3,0%,9
アンギラ,0,3,0%,10.33
グアダループ,0,3,0%,16.33
西サハラ,0,3,0%,34
レソト,0,2,0%,1.5
リヒテンシュタイン,0,2,0%,2
グリーンランド,0,2,0%,3
ブータン,0,2,0%,3.5
ブルンジ,0,2,0%,4
マーシャル諸島,0,2,0%,5
東チモール,0,2,0%,5
トルクメニスタン,0,2,0%,5.5
ギニアビサウ,0,2,0%,7
マイヨット島,0,2,0%,11.5
ドミニカ,0,2,0%,16.5
北朝鮮,0,1,0%,1
スバールバル諸島とヤンマイエン島,0,1,0%,1
蘭領カリブ,0,1,0%,5
ニジェール,0,1,0%,5
ソロモン諸島,0,1,0%,6
クック諸島,0,1,0%,8
アメリカ領サモア,0,1,0%,9
バヌアツ,0,1,0%,10
リベリア,0,1,0%,12
トンガ,0,1,0%,24
セントヘレナ,0,1,0%,25
ツバル,0,1,0%,38
