タスクの内容,カテゴリー,サブアイテム,ステータス,優先度,対応メンバー,日付,親アイテム
PageSpeedinsightを活用した修正項目の整理,5.内部施策,,ToDo,中,野中力斗,2026年5月5日 → 2026年5月11日,
コンテンツの公開フローを決める・チェックリスト,2.ディレクション,,ToDo,高,"甲斐聖史, 野中力斗",2026年3月2日 → 2026年3月11日,
被リンク営業実施,3.外部施策,,ToDo,高,野中力斗,2026年3月1日 → 2026年8月31日,
Q&A導線をNotionから切り替える,4.CV施策,,ToDo,中,野中力斗,2026年4月1日 → 2026年4月10日,
今後半年間のコンテンツ制作・リライトするkwを選定する,1.コンテンツ施策,無題 (%E7%84%A1%E9%A1%8C%2030c02386e444802ba717cfdca0873bfc.md),ToDo,高,野中力斗,2026年3月2日 → 2026年3月4日,
適切な著者・監修者を採用し露出させる,6.EEAT・YMYL施策,,ToDo,低,野中力斗,2026年5月4日 → 2026年5月15日,
それぞのCTAに埋めこれからパラメーターを記事ごとに設定し直す,4.CV施策,,ToDo,高,野中力斗,2026年3月2日 → 2026年3月31日,
リダイレクト設定が適切に設定されているかの確認,5.内部施策,,ToDo,中,野中力斗,2026年4月15日 → 2026年4月21日,
URLは正規化されているのかの確認,5.内部施策,,ToDo,中,野中力斗,2026年4月16日 → 2026年4月22日,
クリエイティブ制作・TDのABテストを実施する,4.CV施策,"クリエイティブ制作でTD案とクリエイティブの方向性をすり合わせる (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C%E3%81%A7TD%E6%A1%88%E3%81%A8%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E3%81%AE%E6%96%B9%E5%90%91%E6%80%A7%E3%82%92%E3%81%99%E3%82%8A%E5%90%88%E3%82%8F%E3%81%9B%E3%82%8B%2030c02386e44480c78f54f2bf3a295e54.md), クリエイティブ制作 (%E3%82%AF%E3%83%AA%E3%82%A8%E3%82%A4%E3%83%86%E3%82%A3%E3%83%96%E5%88%B6%E4%BD%9C%2030c02386e44480609a89f44af28b562e.md), 対象記事の選定 (%E5%AF%BE%E8%B1%A1%E8%A8%98%E4%BA%8B%E3%81%AE%E9%81%B8%E5%AE%9A%2030c02386e44480acb5cfe70ee6239400.md), 対象記事の設置 (%E5%AF%BE%E8%B1%A1%E8%A8%98%E4%BA%8B%E3%81%AE%E8%A8%AD%E7%BD%AE%2030c02386e4448084b857f847bd477090.md), 週次ごとに効果検証 (%E9%80%B1%E6%AC%A1%E3%81%94%E3%81%A8%E3%81%AB%E5%8A%B9%E6%9E%9C%E6%A4%9C%E8%A8%BC%2030c02386e44480238a69d797933accc0.md)",ToDo,中,野中力斗,2026年4月1日 → 2026年4月15日,
