日付,クリック数,表示回数,CTR,掲載順位
2025-11-23,154,19633,0.78%,5.6
2025-11-24,181,21759,0.83%,5.2
2025-11-25,173,20633,0.84%,5.3
2025-11-26,143,20899,0.68%,5.7
2025-11-27,191,22063,0.87%,5.1
2025-11-28,162,24018,0.67%,5.3
2025-11-29,153,22770,0.67%,5.1
2025-11-30,232,23091,1%,5.7
2025-12-01,226,21616,1.05%,5.4
2025-12-02,217,21539,1.01%,5.7
2025-12-03,196,21152,0.93%,6.1
2025-12-04,202,21156,0.95%,5.8
2025-12-05,181,22232,0.81%,5.8
2025-12-06,191,22579,0.85%,6
2025-12-07,218,22163,0.98%,5.8
2025-12-08,200,20356,0.98%,6.3
2025-12-09,165,18846,0.88%,6.3
2025-12-10,156,18967,0.82%,5.9
2025-12-11,163,20335,0.8%,6
2025-12-12,176,22455,0.78%,5.5
2025-12-13,212,23029,0.92%,5.6
2025-12-14,271,23062,1.18%,5.8
2025-12-15,237,21605,1.1%,5.8
2025-12-16,229,21185,1.08%,5.5
2025-12-17,246,22176,1.11%,5.5
2025-12-18,227,21773,1.04%,5.9
2025-12-19,227,24601,0.92%,5.7
2025-12-20,227,24249,0.94%,5.8
2025-12-21,260,21143,1.23%,5.8
2025-12-22,235,20763,1.13%,5.9
2025-12-23,237,21984,1.08%,5.9
2025-12-24,229,21311,1.07%,6.2
2025-12-25,262,23023,1.14%,5.8
2025-12-26,284,25823,1.1%,6.1
2025-12-27,265,24730,1.07%,5.9
2025-12-28,300,23760,1.26%,6.2
2025-12-29,258,23266,1.11%,6.1
2025-12-30,222,22584,0.98%,6.5
2025-12-31,186,19263,0.97%,6.3
2026-01-01,266,19988,1.33%,6.3
2026-01-02,261,23397,1.12%,6
2026-01-03,298,23584,1.26%,5.9
2026-01-04,302,23672,1.28%,5.9
2026-01-05,298,23756,1.25%,5.9
2026-01-06,293,22914,1.28%,5.5
2026-01-07,284,24565,1.16%,6.3
2026-01-08,280,24053,1.16%,6
2026-01-09,246,23192,1.06%,5.5
2026-01-10,232,24233,0.96%,5.9
2026-01-11,257,24290,1.06%,5.5
2026-01-12,259,23864,1.09%,6.1
2026-01-13,290,23007,1.26%,5.7
2026-01-14,294,21973,1.34%,5.9
2026-01-15,294,25522,1.15%,5.4
2026-01-16,248,23919,1.04%,6.1
2026-01-17,243,22952,1.06%,5.8
2026-01-18,274,23271,1.18%,6.1
2026-01-19,270,22730,1.19%,6.1
2026-01-20,306,22777,1.34%,6.1
2026-01-21,299,22948,1.3%,6.2
2026-01-22,291,23369,1.25%,6.4
2026-01-23,272,25243,1.08%,6
2026-01-24,326,25250,1.29%,6.2
2026-01-25,336,24999,1.34%,6
2026-01-26,334,24125,1.38%,6.3
2026-01-27,318,23369,1.36%,5.9
2026-01-28,367,24974,1.47%,6.2
2026-01-29,363,26478,1.37%,5.8
2026-01-30,378,27256,1.39%,6
2026-01-31,413,27264,1.51%,5.8
2026-02-01,420,27804,1.51%,5.8
2026-02-02,350,25145,1.39%,6.2
2026-02-03,356,24202,1.47%,5.8
2026-02-04,356,24994,1.42%,5.4
2026-02-05,339,28293,1.2%,6
2026-02-06,347,29497,1.18%,5.8
2026-02-07,365,30694,1.19%,5.5
2026-02-08,392,27720,1.41%,5.3
2026-02-09,386,25972,1.49%,5.7
2026-02-10,340,28482,1.19%,6.2
2026-02-11,370,26291,1.41%,6.1
2026-02-12,318,25185,1.26%,5.6
2026-02-13,311,27427,1.13%,5.7
2026-02-14,384,29697,1.29%,5.7
2026-02-15,481,31234,1.54%,5.6
2026-02-16,370,29702,1.25%,5.8
2026-02-17,420,29701,1.41%,5.8
2026-02-18,414,31286,1.32%,5.5
2026-02-19,393,30998,1.27%,5.6
2026-02-20,388,30654,1.27%,5.5
2026-02-21,344,29917,1.15%,5.5
2026-02-22,351,31235,1.12%,5.6
