トピック,#,役割,ターゲットKW,検索Vol,KD,CPC($),現在順位,ABGランク,GSCクリック(3M),GSC表示(3M),GSC CTR,優先度,施策タイプ,既存URL,リライト基準ルール,見込み増加/月,備考（リライト方針エグゼクティブサマリー）
T1: ファクタリング 個人事業主,1,ピラー,ファクタリング 個人事業主,2000,1,$8.00,圏外,G,-,-,-,高,新規作成,-,【新規】Vol2000/KD1/TP4200/既存記事なし,+200~400,"「個人事業主がファクタリングを利用する完全ガイド」を新規作成。利用条件・必要書類・審査基準・手数料相場・利用手順を網羅。ペイトナーの強み（低手数料・即日・オンライン完結）を自然訴求。全クラスター記事への内部リンクハブ。"
T1: ファクタリング 個人事業主,2,クラスター,ファクタリング 個人,4800,5,$6.00,22位,B,-,-,-,高,新規作成,-,【新規】Vol最大4800/TOPで22位→専用記事で10位以内,+200~400,"「個人向けファクタリングとは？法人との違い・利用条件・おすすめサービス」を主題に新規作成。Vol最大のためクラスター全体の集客エンジン。"
T1: ファクタリング 個人事業主,3,クラスター,ファクタリング 審査,1700,1,$5.00,26位,B,-,-,-,高,リライト,https://paytner.co.jp/paytter/factoring/2882/,【B】26位→コンテンツ拡充で10位以内,+85~120,"審査基準の具体解説（売掛先信用度・請求書種類・利用実績）追加。ペイトナーの審査通過率・審査時間の実データ挿入でE-E-A-T強化。"
T1: ファクタリング 個人事業主,4,クラスター,ファクタリング 手数料 (+相場),2700+600,1,$4.50,36位,G,-,-,-,高,リライト,https://paytner.co.jp/paytter/factoring/4567/,【G】36位→全面刷新。構成・タイトル・見出し再設計,+120~180,"2社間/3社間の手数料比較表、手数料決定要因（売掛先規模・金額・回数）、下げるコツを体系解説。ペイトナーの手数料体系を明示し競合比較で優位性を示す。"
T1: ファクタリング 個人事業主,5,クラスター,ファクタリング デメリット / メリット,900+1300,1,$1.60,25位,B,-,-,-,中,リライト,https://paytner.co.jp/paytter/factoring/4603/,【B】25位→網羅性とオリジナル情報で差別化,+110~155,"メリット・デメリットを1記事で網羅。デメリットの解決策を具体提示。ユーザー体験談や利用シーン図解追加。"
T1: ファクタリング 個人事業主,6,クラスター,ファクタリング 必要書類,800,0,$7.00,圏外,G,-,-,-,中,新規作成,-,【新規】Vol800/KD0/実用系,+80~160,"必要書類チェックリスト。サービス別比較表設置。ペイトナーは請求書のみで申込可能な点を強調。"
T1: ファクタリング 個人事業主,7,クラスター,ファクタリング 仕組み,1100,5,$1.20,圏外,G,-,-,-,中,新規作成,-,【新規】Vol1100/KD5/初心者向け教育コンテンツ,+55~110,"2社間・3社間の仕組み図解。銀行融資との比較。全クラスターへの内部リンクハブ。"
T1: ファクタリング 個人事業主,8,クラスター,ファクタリング 審査落ち,250,0,$7.00,圏外,G,-,-,-,中,新規作成,-,【新規】顕在ニーズKW/高CVR,+25~50,"審査落ちの原因5つ、再審査のコツ、審査が甘いサービス選び方。ペイトナーの審査通過率データでCTA強化。"
T1: ファクタリング 個人事業主,9,クラスター,ファクタリング 審査 甘い,400,1,$7.00,圏外,G,-,-,-,中,新規作成,-,【新規】Vol400/KD1/TP1400/高CVR,+40~80,"審査が甘いファクタリング会社の特徴と選び方。審査基準の違い（売掛先重視vs申込者重視）を解説。"
T1: ファクタリング 個人事業主,10,クラスター,ファクタリング 審査 通らない,100,0,$8.00,圏外,G,-,-,-,低,新規作成,-,【新規】審査落ち記事と統合も検討,+10~20,"審査に通らない理由と対策。「審査落ち」記事からの内部リンク先。緊急度の高いユーザー向け。"
T1: ファクタリング 個人事業主,11,クラスター,請求書買取 個人事業主,250,0,$12.00,圏外,G,-,-,-,中,新規作成,-,【新規】CPC最高帯$12/KD0/T3と共有,+25~50,"ファクタリング＝請求書買取の同義性を冒頭で明確化。個人事業主向け買取サービス比較。"
T1: ファクタリング 個人事業主,12,クラスター,2社間ファクタリング,300,2,$4.00,圏外,G,-,-,-,低,新規作成,-,【新規】Vol300/KD2/仕組み理解系,+15~30,"2社間ファクタリングの仕組み・メリット・デメリット・手数料相場を解説。3社間との違いを図解。"
T1: ファクタリング 個人事業主,13,クラスター,3社間ファクタリング,150,0,$8.00,圏外,G,-,-,-,低,新規作成,-,【新規】Vol150/KD0,+10~20,"3社間ファクタリングの仕組みと2社間との比較。法的な安全性の高さを訴求。"
T2: ファクタリング 即日,14,ピラー,ファクタリング 即日,6100,14,$9.00,52位,G,-,-,-,高,リライト（大幅改修）,https://paytner.co.jp/paytter/factoring/11604/,【G-最優先】Vol最大6100/52位→全面刷新,+350~420,"タイトル刷新「即日ファクタリングおすすめ○選｜最短○時間で入金」。比較表（入金スピード・手数料・対応時間）設置。ステップ図解追加。5000字以上に拡充。"
T2: ファクタリング 即日,15,クラスター,資金調達 即日,3700,0,$0.15,38位,G,-,-,-,高,リライト,https://paytner.co.jp/paytter/factoring/12062/,【G】Vol3700/38位→網羅性向上で大幅UP可能,+180~260,"ファクタリング・ビジネスローン・カードローン等の即日資金調達手段を比較。ファクタリングが最も手軽であることを比較表で示す。"
T2: ファクタリング 即日,16,クラスター,ファクタリング 土日 / 土日対応,700+450,1,$6.00,圏外,G,242(ペイトナー土日),447,-,中,新規作成,-,【新規】Vol1150合算/KD1/緊急ニーズ,+60~115,"土日対応ファクタリング会社比較。GSCで「ペイトナー 土日」に242クリックあり、非ブランドKWへの転換を狙う。"
T2: ファクタリング 即日,17,クラスター,ファクタリング 個人事業主 即日,600,5,$7.24,32位,G,-,-,-,中,新規作成,-,【新規】T1・T2の橋渡し記事,+30~60,"個人事業主が即日でファクタリングを利用する方法。申込→入金のタイムライン解説。"
T2: ファクタリング 即日,18,クラスター,オンラインファクタリング,400,21,$6.00,58位,G,-,-,-,低,リライト,https://paytner.co.jp/paytter/service/11856/,【G】58位/KD21→中長期改善対象,+10~20,"オンライン完結型ファクタリングの選び方に主題を絞る。ペイトナーのWeb完結フローを図解。"
T2: ファクタリング 即日,19,クラスター,ファクタリング 即日 少額,150,2,$10.00,圏外,G,-,-,-,低,新規作成,-,【新規】T4と共有/CPC$10,+15~30,"少額でも即日入金可能なサービス一覧。ペイトナーの最低利用金額・即日入金の条件を解説。"
T3: 請求書買取 フリーランス,20,ピラー,請求書買取 フリーランス,40,0,$4.50,圏外,G,-,-,-,高,リライト（5486主軸）,https://paytner.co.jp/paytter/factoring/5486/,【リライト】親KW「請求書買取」1500/CPC$12/17位→3位狙い,+100~140,"フリーランス向け請求書買取完全ガイドとして5486をリライト。仕組み・メリット・手数料・利用手順を網羅。CPC$12の高収益KW。"
T3: 請求書買取 フリーランス,21,クラスター,請求書 買取 / 請求書買取,1500+1300,0,$12.00,17位,B,-,-,-,高,リライト,https://paytner.co.jp/paytter/factoring/5486/,【B】17位→3位以内でCPC$12のKWを獲得,ピラーで吸収,"ピラー記事で主要KW「請求書買取」をカバー。"
T3: 請求書買取 フリーランス,22,クラスター,請求書 先払い,200,0,$5.00,8位,A,179,9260,1.59%,中,リライト強化,https://paytner.co.jp/sakibarai,【A】8位→3位以内に引き上げ/サービスページ拡充,+65~100,"唯一のAランク。コンテンツセクション追加「請求書先払いとは？仕組みとメリット」。FAQでロングテール吸収。CTA最適化。"
T3: 請求書買取 フリーランス,23,クラスター,請求書 現金化,400,0,$13.00,圏外,G,-,-,-,中,新規作成,-,【新規】CPC$13最高値/KD0/高CVR,+40~80,"CPC$13。「請求書を現金化する方法」を主題に、合法的な資金調達手段としてのポジショニング確立。"
T3: 請求書買取 フリーランス,24,クラスター,請求書買取 おすすめ,100,0,$11.00,圏外,G,-,-,-,低,新規作成,-,【新規】比較検討フェーズKW/CPC$11,+10~20,"請求書買取サービスおすすめ比較記事。手数料・入金スピード・対応金額で比較。"
T3: 請求書買取 フリーランス,25,クラスター,請求書買取 即日,50,18,$14.00,圏外,G,-,-,-,低,新規作成,-,【新規】CPC$14/KD18→中長期,+5~10,"即日対応の請求書買取サービス比較。T2ピラーとの内部リンク。"
T3: 請求書買取 フリーランス,26,クラスター,請求書買取サービス,600,0,$13.00,圏外,G,-,-,-,-,吸収,-,ピラー記事で吸収,-,"ピラー「請求書買取 フリーランス」記事内で網羅。"
T3: 請求書買取 フリーランス,27,クラスター,請求書買取とは,70,-,$4.00,圏外,G,-,-,-,-,吸収,-,ピラー記事で吸収,-,"ピラー冒頭の「請求書買取とは」セクションで吸収。"
T4: ファクタリング 少額,28,ピラー,ファクタリング 少額,500,1,$6.00,58位,G,-,-,-,高,新規作成,-,【新規】Vol500/KD1/58位→専用記事,+50~100,"「少額ファクタリングおすすめサービス比較」。1万・5万・10万円の金額帯別に整理。ペイトナーの最低金額の低さを差別化。"
T4: ファクタリング 少額,29,クラスター,フリーランス ファクタリング,500,3,$8.00,24位,B,-,-,-,中,新規作成,-,【新規】Vol500/24位→専用記事で10位以内,+25~50,"フリーランス向けファクタリング完全ガイド。請求書発行→買取フロー。確定申告での処理方法。"
T4: ファクタリング 少額,30,クラスター,フリーランス ファクタリング 少額,20,-,$3.50,圏外,G,-,-,-,-,吸収,-,T4ピラーで吸収,-,"ピラー記事で吸収。"
T4: ファクタリング 少額,31,クラスター,給料ファクタリング / 給与ファクタリング,1000+600,1,$0.90,42位,G,13,932,1.39%,中,リライト,https://paytner.co.jp/paytter/factoring/7557/,【G】Vol1600/42位→方針転換が必要,+80~110,"「給料ファクタリングとは？違法性と安全な代替手段」にリポジショニング。リスク解説→合法的な請求書ファクタリングへ誘導。"
T4: ファクタリング 少額,32,クラスター,ファクタリング 10万円,60,0,$6.00,圏外,G,-,-,-,低,新規作成,-,【新規】金額指定KW/KD0,+5~10,"10万円のファクタリング利用ガイド。手数料シミュレーション付き。"
T4: ファクタリング 少額,33,クラスター,少額ファクタリング 他社利用中,50,-,-,圏外,G,-,-,-,低,新規作成,-,【新規】他社利用中ユーザー向け/高CVR,+5~10,"他社利用中でも少額ファクタリングが使えるかを解説。乗り換え・追加利用の方法。"
T5: ペイトナー 評判,34,ピラー,ペイトナー 評判 / 口コミ,100+400,0,$1.70~$4.00,12位(口コミ),B,17(口コミ),1417,1.2%,高,新規作成,-,【新規】ブランドKW/KD0/12位→専用記事で1位,+40~80,"「ペイトナーの評判・口コミを徹底調査」として新規作成。実ユーザーの声、メリット・デメリット、他社比較を客観的に整理。"
T5: ペイトナー 評判,35,クラスター,ペイトナー 審査落ち,350,0,$4.50,10位,A,86,1333,6.45%,高,新規作成,（GSCでは既にインプレッションあり）,【A】10位→専用記事で5位以内に強化,+35~70,"審査落ちの原因と対策を具体的に解説。再申請のコツ、必要書類の揃え方。GSCで86クリック/1333表示あり。"
T5: ペイトナー 評判,36,クラスター,ペイトナー 怪しい,150,-,-,圏外,G,-,-,-,中,新規作成,-,【新規】ネガティブKW対策/信頼性訴求,+15~30,"「ペイトナーは怪しい？」に正面から回答。運営会社情報・資本金・登録番号・メディア掲載実績で信頼性を証明。"
T5: ペイトナー 評判,37,クラスター,ペイトナー 手数料,150,-,$1.80,圏外,G,72,779,9.24%,中,新規作成,-,【新規】GSCで72クリックあり/サービス比較,+15~30,"ペイトナーの手数料体系を詳細解説。競合比較表付き。手数料を下げるコツ。"
T5: ペイトナー 評判,38,クラスター,ペイトナー 審査,70,-,$2.50,圏外,G,45,382,11.78%,低,吸収,-,T5ピラーまたは審査落ち記事で吸収,-,"審査落ち記事内で審査全般を解説。"
T5: ペイトナー 評判,39,クラスター,ペイトナー 審査落ち 5ch,150,-,-,圏外,G,-,-,-,低,吸収,-,審査落ち記事で吸収,-,"5ch/掲示板の口コミまとめを審査落ち記事内に記載。"
T5: ペイトナー 評判,40,クラスター,ペイトナー デメリット,-,-,-,圏外,G,-,-,-,低,吸収,-,T5ピラー（評判記事）で吸収,-,"評判記事のデメリットセクションで網羅。"
T6: ファクタリング 個人事業主 比較,41,ピラー,ファクタリング 個人事業主 比較,10,-,-,圏外,G,-,-,-,高,新規作成,-,【新規】親KW「おすすめ」4200/比較検討フェーズ,+200~350,"「個人事業主向けファクタリング会社おすすめ○選【比較表付き】」。手数料・入金速度・対応金額・審査の甘さで比較。CVR最高の記事タイプ。"
