トピック,役割,ターゲットKW,検索Vol,KD,現在順位,優先度,GSCクリック(3M),GSC表示(3M),GSC CTR,見込み増加/月,優先度,施策タイプ,既存URL,備考（リライト方針エグゼクティブサマリー）
C1: ハイヤーとは（法人・全体ハブ）,ピラー,ハイヤーとは / ハイヤー 意味,4200〜5000,中,5位/12位（カニバリ）,高,13,18823,0.07%,280,高,リライト（統合）,https://vip-limo.jp/articles/ハイヤーのサービスと利用シーン/ + /articles/高級感と快適さを両立！リムジンハイヤーの魅力/,記事②を①に統合（301リダイレクト）。6000字超に拡充。法人利用・宿泊施設活用の各シーンを追加しB/Cセグメント専用記事への誘導ハブ化。GSC: 「ハイヤーとは」+「ハイヤー とは」合算
C1: ハイヤーとは（法人・全体ハブ）,クラスター,ハイヤー タクシー 違い,1500〜2500,中,8位〜10位,中,21,16272,0.13%,155,中,リライト,https://vip-limo.jp/articles/ハイヤーとタクシーの違い7選/,法人が「なぜタクシーでなくハイヤーか」の視点強化。コスト比較表・守秘義務・専属ドライバー追加。GSC: 4パターン合算
C1: ハイヤーとは（法人・全体ハブ）,クラスター,ハイヤー 料金 / ハイヤー 料金 相場,2000〜3000,中,圏外（②が部分カバー）,低,-,-,-,100,中,新規作成,-,法人の予算検討に耐える料金特化記事。空港送迎・時間貸し・法人契約の費用を徹底解説
C1: ハイヤーとは（法人・全体ハブ）,クラスター,観光ハイヤー / 観光タクシー 貸切,500〜1000,低,10位前後,低,9,1155,0.78%,25,中,リライト,https://vip-limo.jp/articles/観光ハイヤーのメリットデメリット/,日本語版は国内旅行者＋宿泊業者向けに改修。GSC: 3クエリ合算
C2: 役員送迎ハイヤー（法人）,ピラー,役員送迎 ハイヤー / 役員車 外注,500〜1000,低〜中,圏外,低,-,-,-,40,高,新規作成,-,セグメントC中核記事。自社保有・リースとのコスト比較。C-2b（役員車コスト比較）は本記事内に統合
C2: 役員送迎ハイヤー（法人）,クラスター,法人 ハイヤー 契約 / 法人 タクシー 契約,300〜500,低,圏外,低,-,-,-,25,中,新規作成,-,請求書払い・月額契約・スポット利用の違いを解説
C2: 役員送迎ハイヤー（法人）,クラスター,秘書 タクシー 手配 / 秘書 ハイヤー 予約,100〜200,低,圏外,低,3,413,0.73%,15,中,新規作成,-,秘書の実務フロー特化ガイド。GSC: 「ハイヤー 手配」関連
C2: 役員送迎ハイヤー（法人）,クラスター,VIP送迎 サービス / VIP 車 手配,200〜400,低,圏外,低,12,930,1.29%,20,低,新規作成,-,セキュリティ・プライバシー・多言語対応で比較。GSC: 3クエリ合算
C2: 役員送迎ハイヤー（法人）,クラスター,接待 ハイヤー / 接待 送迎,100〜200,低,圏外,低,18,1048,1.72%,15,低,新規作成,-,ゴルフ送迎・会食送迎のマナーと手配方法。GSC: 5クエリ合算
D: 空港ハイヤー・送迎LP（地域最適化）,ピラー,空港送迎 / 空港送迎サービス,600〜1000,中,5位,中,16,1179,1.36%,25,高,リライト,https://vip-limo.jp/airport/,空港送迎LPの全体リライト。各空港別LPへのハブ化。B2B訴求セクション追加。法人・旅行会社向け導線設置
D: 空港ハイヤー・送迎LP（地域最適化）,クラスター,羽田空港 ハイヤー / 羽田 ハイヤー,200〜300,中,3位,高,86,659,13.05%,10,高,リライト,https://vip-limo.jp/airport-hnd/,既に3位・CTR13%。料金表・予約フロー・乗り場案内を拡充。/airport_guide_hnd/との連携強化
