トピック,役割,ターゲットKW,検索Vol,KD,CPC($),現在順位,ABGランク,ABG基準,GSCクリック(3M),GSC表示回数(3M),GSC CTR,優先度,施策タイプ,既存URL,リライト基準ルール,見込み増加/月,備考（リライト方針エグゼクティブサマリー）
Topic 1: ファクタリング 個人事業主,ピラー,ファクタリング 個人事業主,2000,1,8.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,高,新規作成,-,【新規基準】ターゲットKWでの既存記事がない / Vol 1000以上 / KD 5以下,+200~400,"ピラー記事として「個人事業主がファクタリングを利用する完全ガイド」を新規作成。個人事業主のファクタリング利用条件・必要書類・審査基準・手数料相場・利用手順を網羅的に解説。サービス比較表を設置しペイトナーの強み（手数料・即日対応・オンライン完結）を自然訴求。内部リンクでクラスター記事全体のハブとする。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 個人,4800,5,6.00,22位,B,11-30位＝改善余地あり,-,-,-,高,リライト or 新規,https://paytner.co.jp/（TOPで22位）,【リライト基準B】11-30位 → 記事構成・網羅性改善で10位以内を狙える,+100~200,"現状TOPページで22位。専用の記事を新規作成し、「個人向けファクタリングとは」「法人ファクタリングとの違い」「個人で使える条件」「おすすめサービス比較」を構成。Vol最大（4,800）のため、ピラーの実質的な集客エンジンとなる記事。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 審査,1700,1,5.00,26位,B,11-30位＝改善余地あり,-(GSCデータなし),-,-,高,リライト,https://paytner.co.jp/paytter/factoring/2882/,【リライト基準B】11-30位 → コンテンツ拡充・検索意図再整合で上位化,+85~120,"現在26位。記事の検索意図を「ファクタリング審査に通るためのポイント」に再整合。審査基準の具体的解説（売掛先の信用度・請求書の種類・利用実績）を追加。ペイトナーの審査通過率や審査時間の実データを挿入し、E-E-A-Tを強化。「審査落ち」への内部リンクも設置。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 手数料 (+相場),2700+600,1,4.50,36位,G,31位以下 or 圏外＝要対策,-,-,-,高,リライト,https://paytner.co.jp/paytter/factoring/4567/（推定）,【リライト基準G】31位以下 → 記事を全面刷新。構成・タイトル・見出しを再設計,+120~180,"現在36位で実質ノーインプレッション状態。「ファクタリング手数料の相場は？」を主題に全面リライト。2社間/3社間の手数料比較表、手数料が決まる要因（売掛先規模・請求金額・利用回数）、手数料を下げるコツを体系的に解説。ペイトナーの手数料体系を具体的に明示し、競合比較で優位性を示す。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング デメリット / メリット,900+1300,1,1.60,25位,B,11-30位＝改善余地あり,-,-,-,中,リライト,https://paytner.co.jp/paytter/factoring/4603/,【リライト基準B】11-30位 → 網羅性とオリジナル情報追加で差別化,+110~155,"現在25位。「メリット・デメリット」を1記事で網羅する構成に変更。デメリットの解決策（高手数料→低手数料サービス選び方、取引先への通知→2社間利用）を具体的に提示。実際のユーザー体験談や利用シーンの図解を追加し、滞在時間を改善。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 個人事業主 即日,600,5,7.24,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】高CPC($7.24) / Topic 1・2の橋渡し記事,+30~60,"Topic 1と2の交差点となる記事。「個人事業主が即日でファクタリングを利用する方法」を軸に、申込から入金までのタイムライン、即日対応の条件（申込時間・必要書類事前準備）、ペイトナーの即日入金フローを詳細解説。"
Topic 1: ファクタリング 個人事業主,クラスター,請求書買取 個人事業主,250,0,12.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】CPC最高帯($12) / KD: 0 / Topic 1・3の橋渡し,+25~50,"「請求書買取」という平易な表現で検索するユーザー向け。ファクタリングと請求書買取の違い（実質同じ）を冒頭で明確化し、個人事業主が利用できる請求書買取サービス比較を提供。CPC $12と極めて高収益なため、CVRを意識した構成で作成。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 審査落ち,250,0,7.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】顕在ニーズKW / 審査記事からの内部リンク先,+25~50,"審査に落ちたユーザー（=緊急度が高い）向け。審査落ちの主な原因5つ、再審査のコツ、審査が甘いサービスの選び方を解説。ペイトナーの審査通過率の高さをデータで示し、CTAへの動線を強化。コンバージョン率が非常に高いKW。"
Topic 1: ファクタリング 個人事業主,クラスター,ファクタリング 必要書類,800,0,7.00,圏外,G,31位以下 or 圏外＝要対策,-,-,-,中,新規作成,-,【新規基準】Vol 800 / KD: 0 / 実用系コンテンツ,+80~160,"「ファクタリングに必要な書類チェックリスト」を主題に作成。請求書・本人確認書類・銀行口座情報など、サービス別の必要書類比較表を設置。ペイトナーは必要書類が少ない（請求書のみ）ことを強調し、申込ハードルの低さを訴求。"
Topic 2: ファクタリング 即日,ピラー,ファクタリング 即日,6100,14,9.00,52位,G,31位以下 or 圏外＝要対策,-(GSCクエリ未出現),-,-,高,リライト（大幅改修）,https://paytner.co.jp/paytter/factoring/11604/,【リライト基準G-最優先】Vol最大級(6100) / 現在52位→全面刷新が必須,+350~420,"最重要リライト対象。現在52位で実質的にインデックスされているだけの状態。タイトル・見出し構成を「即日ファクタリングおすすめ○選｜最短○時間で入金」に刷新。即日対応サービスの比較表（入金スピード・手数料・対応時間）を設置。申込→審査→入金のステップ図解を追加。ペイトナーの即日入金実績データを挿入しE-E-A-T強化。記事長を5000字以上に拡充。"
