Priority_Rank,URL,Page_ID,Clicks,Impressions,CTR_percent,Avg_Position,Expected_CTR_percent,CTR_Gap_percent,Potential_Additional_Clicks,Priority_Score,Recommendation
21,https://jo-katsu.com/campus/6292/,6292,261,14266,1.83,4.2,7.0,+5.17,737,738,Title/Meta improvement -> aim for #1
22,https://jo-katsu.com/campus/11626/,11626,527,18045,2.92,4.4,7.0,+4.08,736,736,Title/Meta improvement -> aim for #1
23,https://jo-katsu.com/campus/8209/,8209,93,20522,0.45,5.7,4.0,+3.55,727,729,Content enhancement -> aim for top 3
24,https://jo-katsu.com/campus/25829/,25829,40,23927,0.17,7.3,3.0,+2.83,677,677,Major rewrite -> aim for top 5
25,https://jo-katsu.com/campus/8535/,8535,6,8548,0.07,3.8,7.0,+6.93,592,592,Title/Meta improvement -> aim for #1
26,https://jo-katsu.com/campus/25693/,25693,165,10673,1.55,3.7,7.0,+5.45,582,582,Title/Meta improvement -> aim for #1
27,https://jo-katsu.com/campus/9068/,9068,80,13192,0.61,5.4,5.0,+4.39,579,579,Content enhancement -> aim for top 3
28,https://jo-katsu.com/campus/24174/,24174,10,7982,0.13,4.4,7.0,+6.87,548,548,Title/Meta improvement -> aim for #1
29,https://jo-katsu.com/campus/6245/,6245,303,33798,0.90,8.4,2.5,+1.60,541,541,Major rewrite -> aim for top 5
30,https://jo-katsu.com/campus/23593/,23593,3,7549,0.04,4.5,7.0,+6.96,525,525,Title/Meta improvement -> aim for #1
31,https://jo-katsu.com/campus/4357/,4357,7,7591,0.09,4.4,7.0,+6.91,524,525,Title/Meta improvement -> aim for #1
32,https://jo-katsu.com/campus/20610/,20610,47,5637,0.83,3.0,10.0,+9.17,516,517,Title/Meta improvement -> aim for #1
33,https://jo-katsu.com/campus/23835/,23835,16,7612,0.21,3.6,7.0,+6.79,516,517,Title/Meta improvement -> aim for #1
34,https://jo-katsu.com/campus/15728/,15728,307,11746,2.61,4.1,7.0,+4.39,515,516,Title/Meta improvement -> aim for #1
35,https://jo-katsu.com/campus/5322/,5322,7,7422,0.09,3.7,7.0,+6.91,512,513,Title/Meta improvement -> aim for #1
36,https://jo-katsu.com/campus/9757/,9757,33,5256,0.63,3.1,10.0,+9.37,492,492,Title/Meta improvement -> aim for #1
37,https://jo-katsu.com/campus/13861/,13861,115,6008,1.91,3.2,10.0,+8.09,485,486,Title/Meta improvement -> aim for #1
38,https://jo-katsu.com/campus/26866/,26866,132,6180,2.14,3.4,10.0,+7.86,486,486,Title/Meta improvement -> aim for #1
39,https://jo-katsu.com/campus/26713/,26713,67,7609,0.88,3.8,7.0,+6.12,465,466,Title/Meta improvement -> aim for #1
40,https://jo-katsu.com/campus/12972/,12972,33,6959,0.47,3.9,7.0,+6.53,454,454,Title/Meta improvement -> aim for #1
41,https://jo-katsu.com/campus/13354/,13354,41,12099,0.34,6.5,4.0,+3.66,442,443,Content enhancement -> aim for top 3
42,https://jo-katsu.com/campus/23671/,23671,11,4446,0.25,3.4,10.0,+9.75,433,433,Title/Meta improvement -> aim for #1
43,https://jo-katsu.com/campus/10756/,10756,296,10294,2.88,4.5,7.0,+4.12,424,424,Title/Meta improvement -> aim for #1
44,https://jo-katsu.com/campus/31478,31478,106,7465,1.42,4.2,7.0,+5.58,416,417,Title/Meta improvement -> aim for #1
45,https://jo-katsu.com/campus/6892/,6892,30,4447,0.67,3.3,10.0,+9.33,414,415,Title/Meta improvement -> aim for #1
46,https://jo-katsu.com/campus/6289/,6289,683,15398,4.44,4.0,7.0,+2.56,394,394,Title/Meta improvement -> aim for #1
47,https://jo-katsu.com/campus/11996/,11996,36,4297,0.84,3.4,10.0,+9.16,393,394,Title/Meta improvement -> aim for #1
48,https://jo-katsu.com/campus/22533/,22533,95,9585,0.99,4.8,5.0,+4.01,384,384,Title/Meta improvement -> aim for #1
49,https://jo-katsu.com/campus/26863/,26863,134,17128,0.78,7.4,3.0,+2.22,379,380,Major rewrite -> aim for top 5
50,https://jo-katsu.com/campus/23659/,23659,22,5734,0.38,3.5,7.0,+6.62,379,380,Title/Meta improvement -> aim for #1
51,https://jo-katsu.com/campus/14329/,14329,53,8633,0.61,4.6,5.0,+4.39,378,379,Title/Meta improvement -> aim for #1
52,https://jo-katsu.com/campus/18576/,18576,4,3828,0.10,3.4,10.0,+9.90,378,379,Title/Meta improvement -> aim for #1
53,https://jo-katsu.com/campus/5483/,5483,18,5587,0.32,4.0,7.0,+6.68,373,373,Title/Meta improvement -> aim for #1
54,https://jo-katsu.com/campus/13536/,13536,156,7472,2.09,4.0,7.0,+4.91,367,367,Title/Meta improvement -> aim for #1
55,https://jo-katsu.com/campus/25532/,25532,33,3990,0.83,3.0,10.0,+9.17,366,366,Title/Meta improvement -> aim for #1
56,https://jo-katsu.com/campus/11294/,11294,63,6069,1.04,3.7,7.0,+5.96,361,362,Title/Meta improvement -> aim for #1
57,https://jo-katsu.com/campus/10483/,10483,21,5353,0.39,3.6,7.0,+6.61,353,354,Title/Meta improvement -> aim for #1
58,https://jo-katsu.com/campus/15304/,15304,83,6030,1.38,4.0,7.0,+5.62,339,339,Title/Meta improvement -> aim for #1
59,https://jo-katsu.com/campus/5158/,5158,84,8391,1.00,4.7,5.0,+4.00,335,336,Title/Meta improvement -> aim for #1
60,https://jo-katsu.com/campus/10507/,10507,294,15369,1.91,5.6,4.0,+2.09,320,321,Content enhancement -> aim for top 3
61,https://jo-katsu.com/campus/12369/,12369,47,7105,0.66,4.8,5.0,+4.34,308,308,Title/Meta improvement -> aim for #1
62,https://jo-katsu.com/campus/28791/,28791,14,3166,0.44,3.3,10.0,+9.56,302,303,Title/Meta improvement -> aim for #1
63,https://jo-katsu.com/campus/14087/,14087,20,4519,0.44,3.7,7.0,+6.56,296,296,Title/Meta improvement -> aim for #1
64,https://jo-katsu.com/campus/24346/,24346,25,4548,0.55,3.8,7.0,+6.45,293,293,Title/Meta improvement -> aim for #1
65,https://jo-katsu.com/campus/4821/,4821,4,4190,0.10,3.8,7.0,+6.90,289,289,Title/Meta improvement -> aim for #1
66,https://jo-katsu.com/campus/18592/,18592,52,6766,0.77,4.6,5.0,+4.23,286,286,Title/Meta improvement -> aim for #1
67,https://jo-katsu.com/campus/24142/,24142,88,7430,1.18,4.6,5.0,+3.82,283,284,Title/Meta improvement -> aim for #1
68,https://jo-katsu.com/campus/4931/,4931,110,5554,1.98,3.7,7.0,+5.02,278,279,Title/Meta improvement -> aim for #1
